item_code,item_description,MOQ,brand
AB AF38-40-00 100-250V 50/60HZ,AB AF38-40-00 100-250V 50/60HZ,,abb
AB AF38-40-00 (20-60VDC),AB AF38-40-00 (20-60VDC),,abb
AB AF400-30-11 250-500V,AB AF400-30-11 250-500V,,abb
AB AF40-30-00 100-250VDC,AB AF40-30-00 100-250VDC,,abb
AB AF40-30-00 20-60VDC,AB AF40-30-00 20-60VDC,,abb
AB AF40-30-11  48-130V,AB AF40-30-11  48-130V,,abb
AB AF460-30-11 100-250V,AB AF460-30-11 100-250V,,abb
AB AF52-30-00  100-250V DC,AB AF52-30-00  100-250V DC,,abb
AB AF580-30-11 (250-500V),AB AF580-30-11 (250-500V),,abb
AB AF63-30-00 100-250VDC,AB AF63-30-00 100-250VDC,,abb
AB AF65-30-00 100-250VDC,AB AF65-30-00 100-250VDC,,abb
AB AF75-30-00 100-250VDC,AB AF75-30-00 100-250VDC,,abb
AB AF75-40-00 110-250VDC,AB AF75-40-00 110-250VDC,,abb
AB AF80-22-00 100-250VDC,AB AF80-22-00 100-250VDC,,abb
AB AF80-30-00 100-250VDC,AB AF80-30-00 100-250VDC,,abb
AB AF96-30-00  100-250V,AB AF96-30-00  100-250V,,abb
AB AL09-30-10,AB AL09-30-10,,abb
AB AL12-30-10,AB AL12-30-10,,abb
AB AL16-30-10,AB AL16-30-10,,abb
AB AL26-30-01,AB AL26-30-01,,abb
AB AL26-40-00,AB AL26-40-00,,abb
AB AT- 3,AB AT- 3,,abb
AB AUX 1Q+1SY XT1-XT4 250v(66431),AB AUX 1Q+1SY XT1-XT4 250v(66431),,abb
AB AUX 1Q 250V AC/DC XT1-T4 (66422),AB AUX 1Q 250V AC/DC XT1-T4 (66422),,abb
AB AUX 3Q+1SY XT2-XT4 250v(66434),AB AUX 3Q+1SY XT2-XT4 250v(66434),,abb
AB AUX-C 1Q+1SY 250VAC/DC(66149),AB AUX-C 1Q+1SY 250VAC/DC(66149),,abb
AB AUX-C 2Q+1SY XT1-XT4 250VAC/DC (66433),AB AUX-C 2Q+1SY XT1-XT4 250VAC/DC (66433),,abb
AB AUX-C3Q+2SY 250VAC/DC (66436),AB AUX-C3Q+2SY 250VAC/DC (66436),,abb
AB AUX CONT-5  ISOL-CONN IND E1-E6(38361),AB AUX CONT-5  ISOL-CONN IND E1-E6(38361),,abb
AB AUX CONTACT E1-E6  (38327),AB AUX CONTACT E1-E6  (38327),,abb
AB AUX CONT S2-/H11,AB AUX CONT S2-/H11,,abb
AB AUX CONT S3-S5,AB AUX CONT S3-S5,,abb
AB AUX CONT S6-S7 2XA,AB AUX CONT S6-S7 2XA,,abb
AB AUX CONT T1-T6 3Q 1SY(51369),AB AUX CONT T1-T6 3Q 1SY(51369),,abb
AB AUX CONT. T1-T6 (51368),AB AUX CONT. T1-T6 (51368),,abb
AB AUX T7 1Q+1SY 24V DC (62103),AB AUX T7 1Q+1SY 24V DC (62103),,abb
AB AUX T7 1Q+1SY 400V AC (62104),AB AUX T7 1Q+1SY 400V AC (62104),,abb
AB AX09-30-01,AB AX09-30-01,,abb
AB AX09-30-10 CONT.TP,AB AX09-30-10 CONT.TP,,abb
AB AX12-30-01,AB AX12-30-01,,abb
AB AX12-30-10,AB AX12-30-10,,abb
AB AX150-30-11,AB AX150-30-11,,abb
AB AX18-30-01 TP CONT.,AB AX18-30-01 TP CONT.,,abb
AB AX18-30-10 TP CONT.,AB AX18-30-10 TP CONT.,,abb
AB AX185-30-11 CONT,AB AX185-30-11 CONT,,abb
AB AX25-30-01,AB AX25-30-01,,abb
AB AX25-30-10,AB AX25-30-10,,abb
AB AX300-30-11 CONT,AB AX300-30-11 CONT,,abb
AB AX32-30-01,AB AX32-30-01,,abb
AB AX32-30-10,AB AX32-30-10,,abb
AB AX40-30-10,AB AX40-30-10,,abb
AB AX50-30-11 CONTACTOR,AB AX50-30-11 CONTACTOR,,abb
AB AX65-30-11,AB AX65-30-11,,abb
AB AX80-30-11 TP CONT.,AB AX80-30-11 TP CONT.,,abb
AB AX95-30-11,AB AX95-30-11,,abb
AB B06-30-10,AB B06-30-10,,abb
AB B09-30-01,AB B09-30-01,,abb
AB B12-22-00,AB B12-22-00,,abb
AB B16-22-00,AB B16-22-00,,abb
AB B16-30-01,AB B16-30-01,,abb
AB B6-22-00-01 240V(GJL1211501R001),AB B6-22-00-01 240V(GJL1211501R001),,abb
AB B63-22-00,AB B63-22-00,,abb
AB B7-30-10-F-01 24V 40-450HZ GJL1311003R0101,AB B7-30-10-F-01 24V 40-450HZ GJL1311003R0101,,abb
AB BC06-30-01,AB BC06-30-01,,abb
AB BC06-30-10 24V DC,AB BC06-30-10 24V DC,,abb
AB BC16-30-01,AB BC16-30-01,,abb
AB BC7-30-10,AB BC7-30-10,,abb
AB BEA16/116 (1SBN081406R1000,AB BEA16/116 (1SBN081406R1000,,abb
AB BEA26/325 CONN LINK,AB BEA26/325 CONN LINK,,abb
AB BELL TRANS (TM15/24),AB BELL TRANS (TM15/24),,abb
AB CA4-01 -1NC(10110R1001),AB CA4-01 -1NC(10110R1001),,abb
AB CA4-10 AUX(10110R1010),AB CA4-10 AUX(10110R1010),,abb
AB CA4-22E,AB CA4-22E,,abb
AB CA4-40E (1SBN010140R1040),AB CA4-40E (1SBN010140R1040),,abb
AB CA5-01 AUX,AB CA5-01 AUX,,abb
AB CA5-10 AUX,AB CA5-10 AUX,,abb
AB CA5-22E AUX CONT. BLOCK,AB CA5-22E AUX CONT. BLOCK,,abb
AB CA5-31E AUX,AB CA5-31E AUX,,abb
AB CA5X-01 AUX,AB CA5X-01 AUX,,abb
AB CA5X-10 AUX,AB CA5X-10 AUX,,abb
AB CA5X-22E AUX FOR AX CONT,AB CA5X-22E AUX FOR AX CONT,,abb
AB CA5X-31E,AB CA5X-31E,,abb
AB CA6-11K,AB CA6-11K,,abb
AB CA7-01,AB CA7-01,,abb
AB CA7-04E,AB CA7-04E,,abb
AB CA7-04M,AB CA7-04M,,abb
AB CA7-10,AB CA7-10,,abb
AB CA7-11/11E,AB CA7-11/11E,,abb
AB CA7-22E,AB CA7-22E,,abb
AB CA7 22K,AB CA7 22K,,abb
AB CA7-31E,AB CA7-31E,,abb
AB CA7-40E,AB CA7-40E,,abb
AB CAL16-11A,AB CAL16-11A,,abb
AB CAL16-11B,AB CAL16-11B,,abb
AB CAL 18 -11,AB CAL 18 -11,,abb
AB CAL 18-11B AUX,AB CAL 18-11B AUX,,abb
AB CAL18X-11B,AB CAL18X-11B,,abb
AB CAL19-11,AB CAL19-11,,abb
AB CAL19-11B,AB CAL19-11B,,abb
AB CAL4-11 AUX CONT.,AB CAL4-11 AUX CONT.,,abb
AB CAL5-11 AUX,AB CAL5-11 AUX,,abb
AB CAL5X-11  AUX,AB CAL5X-11  AUX,,abb
AB CC-U/V 110-240(1SVR040009R1400),AB CC-U/V 110-240(1SVR040009R1400),,abb
AB CE4T-10R-02 EMERGENCY STOP,AB CE4T-10R-02 EMERGENCY STOP,,abb
AB CL-513-Y IND LAMP,AB CL-513-Y IND LAMP,,abb
AB CL-515-BLUE IND.LAMP,AB CL-515-BLUE IND.LAMP,,abb
