item_code,item_description,MOQ,brand
ETN 276833 CONTACTOR DILM12-10 415V 50HZ,ETN 276833 CONTACTOR DILM12-10 415V 50HZ,0,eaton
ETN 276869 DILM12-01 CONT. 24V 50/60HZ,ETN 276869 DILM12-01 CONT. 24V 50/60HZ,0,eaton
ETN 277003 DILM 1710,ETN 277003 DILM 1710,0,eaton
ETN 277012  DILM 17-10(230V50/60HZ),ETN 277012  DILM 17-10(230V50/60HZ),0,eaton
ETN 277018 DILM17-10 CONT.24V DC,ETN 277018 DILM17-10 CONT.24V DC,0,eaton
ETN 277036 DILM17-01 CONT. 230-240V,ETN 277036 DILM17-01 CONT. 230-240V,0,eaton
"ETN 277172 DILM 25-01, CONTACTOR 230V 50/60HZ","ETN 277172 DILM 25-01, CONTACTOR 230V 50/60HZ",0,eaton
ETN 277274 DILM32-10(RDC24),ETN 277274 DILM32-10(RDC24),0,eaton
ETN 277376  DILM32-XHI11,ETN 277376  DILM32-XHI11,0,eaton
ETN 277780 DILM40 (RDC24) 40A TP CONTACTOR,ETN 277780 DILM40 (RDC24) 40A TP CONTACTOR,0,eaton
ETN 277830 DILM50 CONTACTOR  230V,ETN 277830 DILM50 CONTACTOR  230V,0,eaton
ETN 277949 DILM150-XHI31 AUX 3NO+1NC,ETN 277949 DILM150-XHI31 AUX 3NO+1NC,0,eaton
ETN 278434 ZB12-0.6 OLR FOR DILM7-15,ETN 278434 ZB12-0.6 OLR FOR DILM7-15,0,eaton
ETN 278486 PKZM0-12 8-12A MPCB,ETN 278486 PKZM0-12 8-12A MPCB,0,eaton
ETN 278553 SP4A MCB FAZ-C4/1,ETN 278553 SP4A MCB FAZ-C4/1,0,eaton
ETN 278555 SP6A MCB FAZ-C6/1,ETN 278555 SP6A MCB FAZ-C6/1,0,eaton
ETN 278752 DP4A MCB FAZ-C4/2,ETN 278752 DP4A MCB FAZ-C4/2,0,eaton
ETN 278873 TP16A MCB FAZ-C16/3,ETN 278873 TP16A MCB FAZ-C16/3,0,eaton
"ETN 280963 AUX CONT P5, 125A","ETN 280963 AUX CONT P5, 125A",0,eaton
ETN 281202 DILM32-XSPR48 RC-SUP,ETN 281202 DILM32-XSPR48 RC-SUP,0,eaton
ETN 281206 DILM95-XSPR240 RC-SUP,ETN 281206 DILM95-XSPR240 RC-SUP,0,eaton
ETN 283390 PKZM01-16 MPCB,ETN 283390 PKZM01-16 MPCB,0,eaton
ETN 286052 ZP-IHK SWITCH AUXILLAR,ETN 286052 ZP-IHK SWITCH AUXILLAR,0,eaton
ETN 286054 FAZ-XHIN11 AUX,ETN 286054 FAZ-XHIN11 AUX,0,eaton
ETN 288893 PKZM01-25 MPCB  20-25A PB,ETN 288893 PKZM01-25 MPCB  20-25A PB,0,eaton
ETN 294791 PFL-10-16/1N/C/003,ETN 294791 PFL-10-16/1N/C/003,0,eaton
ETN 32720 BK25/3-PKZO,ETN 32720 BK25/3-PKZO,0,eaton
ETN 43619 T0-2-1/V/SVB,ETN 43619 T0-2-1/V/SVB,0,eaton
ETN 44948 B3 1.5 PKZ0 BUSBAR,ETN 44948 B3 1.5 PKZ0 BUSBAR,0,eaton
ETN 56335 P1-25/V/SVB MAIN SWITCH,ETN 56335 P1-25/V/SVB MAIN SWITCH,0,eaton
ETN 61813 HI11-P1/P3E  ACC.CIR,ETN 61813 HI11-P1/P3E  ACC.CIR,0,eaton
ETN 63960 B3 0/4-PKZ0,ETN 63960 B3 0/4-PKZ0,0,eaton
ETN 72907 HOD E-PKZ0-G 72907,ETN 72907 HOD E-PKZ0-G 72907,0,eaton
ETN 82882 AUX NHI-E11,ETN 82882 AUX NHI-E11,0,eaton
ETN 88914 PKZM0-4-T 2.5 TO 4A,ETN 88914 PKZM0-4-T 2.5 TO 4A,0,eaton
ETN AUX. NHI-E-11-PkZ0 72896,ETN AUX. NHI-E-11-PkZ0 72896,0,eaton
ETN BLANKING PLUGS 216390,ETN BLANKING PLUGS 216390,0,eaton
ETN BUSBAR 4 WAY MPCB 044947,ETN BUSBAR 4 WAY MPCB 044947,0,eaton
ETN C0300E2AFB TRANSFORMER 250VA,ETN C0300E2AFB TRANSFORMER 250VA,0,eaton
ETN C1000K2CXX TRANSFORMER 1KVA,ETN C1000K2CXX TRANSFORMER 1KVA,0,eaton
ETN C25LNE3360A 360A TP CONTACTOR,ETN C25LNE3360A 360A TP CONTACTOR,0,eaton
ETN CN15NN3A 135A TP CONTACTOT 120V AC COIL,ETN CN15NN3A 135A TP CONTACTOT 120V AC COIL,0,eaton
ETN CONTACTOR DILM40 (277765) 220V,ETN CONTACTOR DILM40 (277765) 220V,0,eaton
ETN CONT. DILM12-10(276829)220V,ETN CONT. DILM12-10(276829)220V,0,eaton
ETN CONT. DILM32-10(277259)220V,ETN CONT. DILM32-10(277259)220V,0,eaton
ETN CONT. RELAY DILA-22(276398)220V,ETN CONT. RELAY DILA-22(276398)220V,0,eaton
ETN CONTROL RELAY 127082,ETN CONTROL RELAY 127082,0,eaton
ETN CUTLER HAMMER CONTACT KIT 6-26-2 for B1 AN16NNO,ETN CUTLER HAMMER CONTACT KIT 6-26-2 for B1 AN16NNO,0,eaton
ETN DILA22 230/240V 276399,ETN DILA22 230/240V 276399,0,eaton
ETN DILA-31 230VAC 276372,ETN DILA-31 230VAC 276372,0,eaton
ETN DILA-31 (24VAC) 276351,ETN DILA-31 (24VAC) 276351,0,eaton
ETN DILA-40 24V DC 276344,ETN DILA-40 24V DC 276344,0,eaton
ETN DILA-XHI20 2N0 TOP MTD AUX CONT 276422,ETN DILA-XHI20 2N0 TOP MTD AUX CONT 276422,0,eaton
ETN DILEEM-10-G 24V DC 51643,ETN DILEEM-10-G 24V DC 51643,0,eaton
ETN DILER-31-G MINI CONT 24VDC 10157,ETN DILER-31-G MINI CONT 24VDC 10157,0,eaton
ETN DILM115(RAC240) 239548,ETN DILM115(RAC240) 239548,0,eaton
ETN DILM12-01 230V AC 276873,ETN DILM12-01 230V AC 276873,0,eaton
ETN DILM12-01 CONT. 24V DC 276880,ETN DILM12-01 CONT. 24V DC 276880,0,eaton
ETN DILM15-01 CONT. 24V DC 290108,ETN DILM15-01 CONT. 24V DC 290108,0,eaton
ETN DILM150(RAC240) 150A TP CONTACTOR 239588,ETN DILM150(RAC240) 150A TP CONTACTOR 239588,0,eaton
ETN DILM150-XHI22 277950,ETN DILM150-XHI22 277950,0,eaton
ETN DILM150-XHIA22 283464,ETN DILM150-XHIA22 283464,0,eaton
ETN DILM150-XRL  REVERSING KIT 101681,ETN DILM150-XRL  REVERSING KIT 101681,0,eaton
ETN DILM 17-10(110V50/60HZ)  277010,ETN DILM 17-10(110V50/60HZ)  277010,0,eaton
ETN DILM17-10 24V  CONT. 276991,ETN DILM17-10 24V  CONT. 276991,0,eaton
ETN DILM185/22(RAC240) TP CONT. 139537,ETN DILM185/22(RAC240) TP CONT. 139537,0,eaton
ETN DILM25-01 24V AC 277168,ETN DILM25-01 24V AC 277168,0,eaton
ETN  DILM25-10 220/230v 50/60hz (277132),ETN  DILM25-10 220/230v 50/60hz (277132),0,eaton
ETN DILM25-10 220V50 240V60 HZ 277131,ETN DILM25-10 220V50 240V60 HZ 277131,0,eaton
ETN DILM25-10  CONT.(277136) 24V AC,ETN DILM25-10  CONT.(277136) 24V AC,0,eaton
ETN DILM25-10  CONT.(277146) 24V DC,ETN DILM25-10  CONT.(277146) 24V DC,0,eaton
ETN DILM32-01(RDC24)  277306,ETN DILM32-01(RDC24)  277306,0,eaton
ETN DILM32-10 110V AC 277266,ETN DILM32-10 110V AC 277266,0,eaton
ETN DILM32-10 230V 277268,ETN DILM32-10 230V 277268,0,eaton
ETN DILM32-XHI31  106112,ETN DILM32-XHI31  106112,0,eaton
ETN DIL M32-XHIC22 AUX CON BLK 277752,ETN DIL M32-XHIC22 AUX CON BLK 277752,0,eaton
ETN DILM32-XRL REVERSING WIRING KIT 283109,ETN DILM32-XRL REVERSING WIRING KIT 283109,0,eaton
ETN DIL M32-XTEE TIMER MODULE 1-100 SEC 101442,ETN DIL M32-XTEE TIMER MODULE 1-100 SEC 101442,0,eaton
ETN DILM400/22  208209,ETN DILM400/22  208209,0,eaton
ETN DILM400-XHB TERMINAL COVER 208287,ETN DILM400-XHB TERMINAL COVER 208287,0,eaton
ETN DILM50 CONTACTOR 277829,ETN DILM50 CONTACTOR 277829,0,eaton
ETN DILM65 CONTACTOR  220-240V 277893,ETN DILM65 CONTACTOR  220-240V 277893,0,eaton
ETN DILM65 CONTACTOR  230V 277894,ETN DILM65 CONTACTOR  230V 277894,0,eaton
ETN DILM80 80A TP CONTACTOR 239410,ETN DILM80 80A TP CONTACTOR 239410,0,eaton
ETN DILM9-10(276689) 9A WITH 1 NO 230/240V 50/60HZ,ETN DILM9-10(276689) 9A WITH 1 NO 230/240V 50/60HZ,0,eaton
ETN DILM95 CONTACTOR 239479,ETN DILM95 CONTACTOR 239479,0,eaton
ETN DILMC9-01 9A CONTACTOR 230V 277485,ETN DILMC9-01 9A CONTACTOR 230V 277485,0,eaton
ETN DILMS7-23 (24V DC) 191761,ETN DILMS7-23 (24V DC) 191761,0,eaton
ETN DP 10A MCB FAZ-C10/2 (102167),ETN DP 10A MCB FAZ-C10/2 (102167),0,eaton
ETN DP10A MCB FAZ-D10/2 -RT 102227,ETN DP10A MCB FAZ-D10/2 -RT 102227,0,eaton
ETN DP 10A MCB FAZ-K10/2  278796,ETN DP 10A MCB FAZ-K10/2  278796,0,eaton
ETN DP13A MCB FAZ-C13/2 278758,ETN DP13A MCB FAZ-C13/2 278758,0,eaton
ETN DP15A MCB FAZ-C15/2-NA 102169,ETN DP15A MCB FAZ-C15/2-NA 102169,0,eaton
ETN DP15A MCB FAZ-C15/2-RT 102209,ETN DP15A MCB FAZ-C15/2-RT 102209,0,eaton
ETN DP16A MCB FAZ-D16/2-RT 102230,ETN DP16A MCB FAZ-D16/2-RT 102230,0,eaton
ETN DP 16A MCB FAZ-K16/2(278798),ETN DP 16A MCB FAZ-K16/2(278798),0,eaton
ETN DP 16A MCB PLSM-C16/2 242405,ETN DP 16A MCB PLSM-C16/2 242405,0,eaton
ETN DP20A MCB FAZ-C20/2 102211,ETN DP20A MCB FAZ-C20/2 102211,0,eaton
ETN DP20A MCB FAZ-C20/2 278761,ETN DP20A MCB FAZ-C20/2 278761,0,eaton
ETN DP20A MCB FAZ-D20/2-RT 102231,ETN DP20A MCB FAZ-D20/2-RT 102231,0,eaton
ETN DP20A MCB FAZ-K20/2 278799,ETN DP20A MCB FAZ-K20/2 278799,0,eaton
ETN DP 20A MCB PLSM-C20/2 242406,ETN DP 20A MCB PLSM-C20/2 242406,0,eaton
ETN DP25A MCB FAZ-K25/2  278800,ETN DP25A MCB FAZ-K25/2  278800,0,eaton
ETN DP 25A MCB PLSM-C25/2  242407,ETN DP 25A MCB PLSM-C25/2  242407,0,eaton
ETN DP25A MCB PLSM-D25/2-MW  242430,ETN DP25A MCB PLSM-D25/2-MW  242430,0,eaton
ETN DP2A MCB PLSM-C2/2 242393,ETN DP2A MCB PLSM-C2/2 242393,0,eaton
ETN DP32A MCB FAZ-C32/2 278763,ETN DP32A MCB FAZ-C32/2 278763,0,eaton
ETN DP 32A MCB PLSM-C32/2 242408,ETN DP 32A MCB PLSM-C32/2 242408,0,eaton
ETN DP32A MCB PLSM-D32/2-MW 242431,ETN DP32A MCB PLSM-D32/2-MW 242431,0,eaton
ETN DP3A MCB FAZ-K3/2 278792,ETN DP3A MCB FAZ-K3/2 278792,0,eaton
ETN DP4A MCB FAZ-C4/2-RT 102202,ETN DP4A MCB FAZ-C4/2-RT 102202,0,eaton
ETN DP 4A MCB FAZ-K4/2 278793,ETN DP 4A MCB FAZ-K4/2 278793,0,eaton
ETN DP4A MCB PLSM-C4/2 242397,ETN DP4A MCB PLSM-C4/2 242397,0,eaton
ETN DP4A MCB PLSM D4/2  242420,ETN DP4A MCB PLSM D4/2  242420,0,eaton
ETN DP6A MCB FAZ-C6/2 278754,ETN DP6A MCB FAZ-C6/2 278754,0,eaton
ETN DP 6A MCB FAZ-C6/2-NA  (102164),ETN DP 6A MCB FAZ-C6/2-NA  (102164),0,eaton
ETN DP 6A MCB FAZ-K6/2(278794),ETN DP 6A MCB FAZ-K6/2(278794),0,eaton
ETN DP6A MCB PLSM-C6/2 242399,ETN DP6A MCB PLSM-C6/2 242399,0,eaton
ETN DP6A MCB PLSM D6/2 242422,ETN DP6A MCB PLSM D6/2 242422,0,eaton
ETN DP8A MCB FAZ-C8/2-RT 102206,ETN DP8A MCB FAZ-C8/2-RT 102206,0,eaton
ETN DP8A MCB FAZ-Z8/2 278823,ETN DP8A MCB FAZ-Z8/2 278823,0,eaton
ETN DP DC 32A PLS6-C32/2-DC-MW 243138,ETN DP DC 32A PLS6-C32/2-DC-MW 243138,0,eaton
ETN DP DC 50A MCB PLS6-C50/2-DC MW 243140,ETN DP DC 50A MCB PLS6-C50/2-DC MW 243140,0,eaton
ETN E49G31VP3 LIMIT SWITCH WOBBLE STICK,ETN E49G31VP3 LIMIT SWITCH WOBBLE STICK,0,eaton
ETN E50KL226 LIMIT SWITCH ADJUSTABLE ROD,ETN E50KL226 LIMIT SWITCH ADJUSTABLE ROD,0,eaton
ETN E50KL599 ADJUSTABLE ROLLER,ETN E50KL599 ADJUSTABLE ROLLER,0,eaton
ETN EMR6-R250-A-1 184772,ETN EMR6-R250-A-1 184772,0,eaton
"ETN ETR4-69-A, YZ-31891 TIMING RELAY","ETN ETR4-69-A, YZ-31891 TIMING RELAY",0,eaton
ETN FAK-S/KC11/I PALM SW BLK  229749,ETN FAK-S/KC11/I PALM SW BLK  229749,0,eaton
ETN FP100A MCB 248092,ETN FP100A MCB 248092,0,eaton
ETN FP10A MCB FAZ-D10/4 279080,ETN FP10A MCB FAZ-D10/4 279080,0,eaton
ETN FP125A MCB PLHT-C125/4 248093,ETN FP125A MCB PLHT-C125/4 248093,0,eaton
ETN FP16A MCB FAZ-C16/4 279061,ETN FP16A MCB FAZ-C16/4 279061,0,eaton
ETN FP 16A MCB PLSMC16/4 242612,ETN FP 16A MCB PLSMC16/4 242612,0,eaton
ETN FP20A MCB FAZ-D20/4 279085,ETN FP20A MCB FAZ-D20/4 279085,0,eaton
ETN FP 25A MCB PLSM-C25/4 242614,ETN FP 25A MCB PLSM-C25/4 242614,0,eaton
ETN FP 40A MCB PLSM-C40/4 242616,ETN FP 40A MCB PLSM-C40/4 242616,0,eaton
ETN FP63A MCB PLHT-C63/4 248090,ETN FP63A MCB PLHT-C63/4 248090,0,eaton
ETN FP 63A MCB PLSM-C63 242618,ETN FP 63A MCB PLSM-C63 242618,0,eaton
"ETN FP 80A MCB PLHT-C80/4, 248091","ETN FP 80A MCB PLHT-C80/4, 248091",0,eaton
ETN HMCP050K2 50A TP MCCB MOTOR PRTECTION,ETN HMCP050K2 50A TP MCCB MOTOR PRTECTION,0,eaton
ETN HMCP150T4  CH MCCB,ETN HMCP150T4  CH MCCB,0,eaton
